drug_name,Total Articles,Positive Studies (%),Negative Studies (%),High Quality Evidence (%),Primary Safety Concern,Recent Publications (2yr),Literature Assessment,avg_rating,all_side_effects,overall_sentiment
ACTIQ,1,0,0,0,,0,Concerning,2.87,headache | nausea,negative
ACTONEL,6,16.7,0,0,,3,Concerning,1.21,fatigue | headache | insomnia | nausea | vomiting,negative
ACTOPLUS MET,195,0,0,13.3,,64,Concerning,,,
ACTOS,16,0,0,12.5,,8,Concerning,1.21,dizziness | fatigue | nausea | stomach pain | vomiting | weight gain,negative
ACULAR,4,0,0,0,,1,Concerning,,,
ACYCLOVIR,172,26.7,18.6,8.1,Nephrotoxicity,67,Concerning,3.06,dizziness | fatigue | headache | insomnia | nausea | neuropathy,positive
ACYCLOVIR SODIUM,6,0,0,0,,2,Concerning,4.0,,negative
ACZONE,1,100,0,0,,1,Mixed-Neutral,2.8,,positive
ADALAT,27,0,0,11.1,,8,Concerning,,,
ADCIRCA,2,0,0,0,,1,Concerning,2.0,,positive
ADDERALL,61,6.6,4.9,11.5,,23,Concerning,3.25,fatigue | headache | insomnia | rash | tachycardia | weight loss,negative
ADDERALL XR,4,0,0,0,,2,Concerning,3.47,diarrhea | headache | insomnia | nausea | weight loss,positive
ADEMPAS,3,0,0,0,,1,Concerning,2.0,nausea,negative
ADENOSCAN,3,33.3,0,0,,0,Concerning,1.0,headache | nausea,negative
ADIPEX-P,1,0,0,0,,1,Concerning,3.6,dizziness | fatigue | nausea | neuropathy | vomiting | weight loss,positive
ADRIAMYCIN PFS,191,0,0,38.2,,86,Mixed-Neutral,4.8,fatigue | nausea,positive
ADVAIR HFA,2,0,0,0,,1,Mixed-Neutral,4.0,insomnia,positive
ADVIL,6,0,16.7,0,,4,Concerning,2.92,heart attack | insomnia | nausea | stomach pain,negative
ADVIL LIQUI-GELS,1,0,0,0,,1,Concerning,4.77,headache,positive
AFINITOR,7,0,0,14.3,,3,Concerning,3.0,fatigue | headache,negative
AFLURIA,10,0,20,40,,6,Mixed-Neutral,2.0,fatigue,negative
AFREZZA,18,22.2,11.1,5.6,,10,Concerning,,,
AGGRENOX,2,0,50,50,,1,Concerning,2.92,diarrhea | fatigue | headache | nausea | rash | stomach pain | vomiting,negative
AIMOVIG,14,0,0,0,Cardiovascular,2,Concerning,4.0,headache,negative
AJOVY,6,0,0,16.7,,1,Concerning,3.5,insomnia | neuropathy,negative
ALBUTEROL,164,10.4,6.1,16.5,Cardiovascular,36,Concerning,3.91,headache | insomnia,positive
ALBUTEROL SULFATE,23,4.3,4.3,13,,15,Concerning,2.5,rash,positive
ALDACTONE,8,12.5,0,12.5,,3,Concerning,1.58,fatigue | headache | insomnia | nausea | neuropathy | weight gain,negative
ALDARA,49,8.2,2,4.1,Allergic,10,Concerning,2.12,diarrhea | dizziness | fatigue | headache | insomnia | nausea | neuropathy | rash | vomiting,positive
ALECENSA,6,0,16.7,0,,1,Concerning,4.33,bradycardia | fatigue | insomnia | nausea | rash | weight gain,positive
ALENDRONATE SODIUM,100,10,3,9,,54,Concerning,2.22,fatigue | headache | heart attack,negative
ALESSE,31,0,0,0,,7,Concerning,2.3,headache | nausea | weight gain,negative
ALFUZOSIN HYDROCHLORIDE,6,16.7,0,0,,1,Concerning,4.0,,positive
ALINIA,67,0,0,11.9,,22,Concerning,5.0,diarrhea,positive
ALLEGRA,182,2.2,0,4.4,Cardiovascular,31,Concerning,1.0,dizziness | fatigue | headache | insomnia,negative
ALLEGRA D 12 HOUR ALLERGY AND CONGESTION,1,0,0,100,,0,Mixed-Neutral,2.69,diarrhea | dizziness | fatigue | insomnia | nausea | neuropathy | stomach pain | vomiting | weight loss,negative
ALLI,192,1,4.2,6.2,,38,Concerning,3.88,diarrhea | headache | stomach pain | weight loss,positive
ALLOPURINOL,169,21.9,39.6,23.1,Nephrotoxicity,66,Mixed-Neutral,2.46,dizziness | fatigue | headache | insomnia,negative
ALOXI,1,0,0,0,,1,Concerning,,,
ALPHAGAN,12,8.3,0,0,,5,Concerning,2.15,dizziness | fatigue | headache | nausea | tachycardia,negative
ALPHAGAN P,4,0,0,0,,2,Concerning,3.33,fatigue,positive
ALPRAZOLAM,182,9.9,10.4,12.1,Cardiovascular,53,Concerning,4.4,fatigue | insomnia,negative
ALTABAX,1,0,0,0,,1,Concerning,,,
ALVESCO,8,25,0,0,,1,Concerning,1.31,fatigue | headache | insomnia,negative
ALYACEN 1/35,192,0,0,17.7,,56,Concerning,,,
ALYACEN 7/7/7,189,0,0,13.2,,49,Concerning,,,
AMANTADINE HCL,3,0,0,0,,0,Concerning,2.71,fatigue,positive
AMARYL,2,0,0,0,,1,Concerning,2.94,diarrhea | dizziness | fatigue | headache | nausea | rash | weight gain,positive
AMBIEN,5,0,0,20,,2,Concerning,3.06,fatigue | nausea,positive
AMIDATE,87,3.4,1.1,0,,38,Concerning,2.0,,negative
AMILORIDE HCL AND HYDROCHLOROTHIAZIDE,42,0,0,11.9,,14,Concerning,3.0,,negative
AMILORIDE HYDROCHLORIDE,17,11.8,0,5.9,,5,Concerning,1.5,diarrhea,negative
AMINOPHYLLINE,179,22.9,10.6,19.6,Cardiovascular,57,Concerning,3.0,dizziness,positive
AMIODARONE HCL,2,0,0,0,,0,Concerning,1.79,fatigue | headache | insomnia | rash | weight loss,negative
AMIODARONE HYDROCHLORIDE,28,14.3,7.1,3.6,,15,Concerning,1.0,fatigue | weight loss,negative
AMITRIPTYLINE HCL,5,0,0,0,,1,Concerning,2.67,diarrhea | dizziness | tachycardia | weight gain,negative
AMITRIPTYLINE HYDROCHLORIDE,30,3.3,3.3,6.7,,6,Concerning,2.33,,negative
AMLODIPINE BESYLATE,119,9.2,4.2,5.9,Cardiovascular,44,Concerning,1.88,dizziness | fatigue | headache | insomnia | nausea | neuropathy | tachycardia,negative
AMLODIPINE BESYLATE AND ATORVASTATIN CALCIUM,79,0,0,11.4,,30,Concerning,,,
AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,17,0,0,41.2,,9,Mixed-Neutral,4.5,diarrhea,negative
AMLODIPINE BESYLATE AND VALSARTAN,100,0,0,20,,42,Mixed-Neutral,,,
AMOXAPINE,37,10.8,8.1,2.7,,12,Concerning,4.0,,negative
AMOXICILLIN,176,23.9,21.6,18.8,Allergic,57,Concerning,2.3,diarrhea | insomnia | nausea | neuropathy | rash | stomach pain,negative
AMOXICILLIN AND CLAVULANATE POTASSIUM,7,14.3,0,28.6,,1,Concerning,2.18,diarrhea | dizziness | fatigue | headache | nausea | vomiting,negative
AMOXIL,9,11.1,0,11.1,,4,Concerning,3.09,diarrhea | fatigue | headache | insomnia | nausea | rash | stomach pain | weight gain | weight loss,negative
AMPICILLIN TRIHYDRATE,10,0,0,30,,3,Mixed-Neutral,,,
AMPYRA,4,0,25,0,,2,Concerning,2.0,fatigue | headache | insomnia | neuropathy,positive
ANAFRANIL,3,0,0,0,,1,Concerning,3.56,fatigue | headache | heart attack | insomnia | nausea | weight gain,negative
ANAPROX,1,0,0,0,,1,Concerning,2.9,diarrhea | fatigue | headache | stomach pain | vomiting,negative
ANASTROZOLE,180,15.6,13.3,22.2,Gastrointestinal,68,Mixed-Neutral,1.44,dizziness | fatigue | headache | insomnia | nausea | weight gain,negative
ANCEF,5,40,0,0,,3,Concerning,,,
ANDRODERM,3,0,0,0,,1,Concerning,3.42,headache | rash,positive
ANDROGEL,9,22.2,11.1,33.3,,4,Mixed-Neutral,3.2,insomnia | nausea | weight loss,negative
ANORO ELLIPTA,1,0,0,0,,0,Concerning,2.18,headache,neutral
ANSAID,1,0,0,0,,1,Concerning,3.0,,positive
ANTABUSE,19,10.5,0,0,,4,Concerning,5.0,,positive
ANTIVERT,2,0,0,0,,1,Concerning,2.08,fatigue | headache | nausea,negative
APIDRA,4,0,25,0,,0,Concerning,5.0,,positive
APTIOM,1,0,0,0,,0,Concerning,1.67,insomnia,positive
ARAVA,179,0,0.6,5,,47,Concerning,1.42,diarrhea | fatigue | headache | insomnia | nausea | neuropathy | rash | vomiting | weight gain | weight loss,negative
AREDIA,2,0,0,0,,2,Concerning,2.07,fatigue | headache | nausea | vomiting,neutral
ARESTIN,10,10,0,0,,4,Concerning,4.0,,negative
AREXVY,47,21.3,8.5,4.3,,41,Concerning,5.0,,negative
ARICEPT,16,12.5,6.2,0,,2,Concerning,1.71,diarrhea | dizziness | nausea | stomach pain | vomiting,negative
ARIMIDEX,7,0,0,14.3,,1,Concerning,1.62,fatigue | insomnia | nausea | neuropathy,negative
ARISTADA,4,0,0,0,,1,Concerning,1.0,weight gain,negative
ARIXTRA,7,14.3,0,0,,0,Concerning,5.0,,neutral
ARMOUR THYROID,4,25,0,25,,2,Concerning,3.36,fatigue | headache | insomnia | nausea | weight gain,positive
AROMASIN,4,0,0,25,,1,Concerning,1.67,fatigue | headache | insomnia | nausea | neuropathy | rash | weight gain,negative
ARTANE,5,0,0,0,,1,Concerning,1.92,nausea,positive
ASACOL,16,12.5,0,25,,5,Concerning,2.67,fatigue | headache | insomnia | neuropathy | weight gain,positive
ASMANEX HFA,1,0,0,0,,0,Concerning,1.0,headache,negative
ASMANEX TWISTHALER,2,0,0,50,,0,Mixed-Neutral,4.5,,negative
ASPIRIN,180,31.7,30.6,13.9,Hematologic,61,Concerning,3.6,stomach pain,neutral
ASTEPRO,1,0,0,0,,0,Concerning,2.44,fatigue | headache,positive
ATACAND,2,0,0,0,,2,Concerning,2.45,fatigue | stomach pain | weight gain,negative
ATARAX,5,20,0,0,Allergic,3,Concerning,3.0,fatigue | insomnia | nausea | rash,negative
ATELVIA,1,0,0,0,,0,Concerning,3.0,stomach pain,positive
ATENOLOL,183,17.5,7.7,8.2,Cardiovascular,51,Concerning,1.71,dizziness | fatigue | headache | insomnia | nausea | stomach pain,negative
ATENOLOL AND CHLORTHALIDONE,1,0,0,0,,0,Concerning,3.33,fatigue | nausea,neutral
ATIVAN,10,0,10,0,,4,Concerning,3.31,diarrhea | fatigue | headache | insomnia | vomiting | weight gain,negative
ATORVASTATIN CALCIUM,130,15.4,3.8,6.2,Cardiovascular,58,Concerning,1.82,diarrhea | fatigue | headache | insomnia | nausea | vomiting,negative
ATRALIN,2,0,0,0,,0,Concerning,5.0,,negative
ATRIPLA,14,7.1,14.3,7.1,Cardiovascular,3,Concerning,4.0,fatigue | headache | insomnia | nausea | rash,positive
ATROVENT,6,16.7,0,0,,3,Concerning,3.86,dizziness | headache | nausea,positive
AUBAGIO,20,5,0,15,,5,Concerning,,,
AUGMENTIN  125,162,0,0,17.3,,62,Concerning,1.82,diarrhea | dizziness | fatigue | headache | insomnia | nausea | tachycardia,negative
AUGMENTIN 250,131,0,0,10.7,,49,Concerning,2.23,diarrhea | dizziness | fatigue | headache | nausea | rash | stomach pain | vomiting | weight gain,negative
AUGMENTIN 400,137,0,0,19,,46,Concerning,,,
AUGMENTIN 875,36,0,0,19.4,,20,Concerning,2.62,diarrhea | dizziness | fatigue | headache | insomnia | nausea | rash | stomach pain,negative
AUGMENTIN XR,2,0,0,0,,2,Concerning,2.0,diarrhea | fatigue | headache | insomnia | nausea | neuropathy | stomach pain,negative
AUSTEDO,11,0,0,27.3,,2,Concerning,2.5,fatigue | insomnia | nausea,positive
AVANDIA,6,0,0,33.3,,2,Mixed-Neutral,1.61,fatigue | headache | stomach pain | weight gain,negative
AVAPRO,3,33.3,0,0,,2,Concerning,1.44,diarrhea | fatigue | headache | insomnia | nausea | neuropathy | rash | stomach pain | tachycardia,negative
AVASTIN,189,15.9,2.1,16.9,,52,Concerning,,,
AVELOX,2,0,0,50,,1,Mixed-Neutral,1.38,diarrhea | fatigue | insomnia | nausea | neuropathy | rash,negative
AVITA,156,1.3,0,19.2,,101,Mixed-Neutral,5.0,,positive
AVODART,6,33.3,16.7,0,,2,Concerning,3.27,,positive
AVONEX,20,15,5,35,,4,Mixed-Neutral,3.71,fatigue | headache | insomnia | nausea,negative
AXID,2,0,0,50,,2,Mixed-Neutral,3.86,fatigue | headache | stomach pain | weight gain,negative
AXIRON,3,0,0,33.3,,0,Concerning,3.17,,positive
AYGESTIN,1,0,0,0,,1,Concerning,2.79,dizziness | fatigue | headache | insomnia | nausea | stomach pain | weight gain | weight loss,positive
AZATHIOPRINE,168,26.8,30.4,17.3,Cardiovascular,50,Concerning,2.67,fatigue | nausea,negative
AZELASTINE HYDROCHLORIDE,36,19.4,5.6,13.9,Allergic,17,Concerning,2.43,fatigue,positive
AZILECT,5,20,0,20,,2,Mixed-Neutral,3.33,,negative
AZITHROMYCIN,178,29.8,30.3,18.5,Cardiovascular,44,Concerning,1.76,diarrhea | fatigue | headache | heart attack | insomnia | nausea | rash | vomiting,negative
AZOPT,8,12.5,0,0,,2,Concerning,2.0,dizziness | fatigue | headache | nausea | stomach pain | vomiting,negative
AZOR,62,4.8,3.2,1.6,,24,Concerning,3.33,diarrhea | headache | nausea | neuropathy | stomach pain | vomiting,negative
AZSTARYS,4,0,0,0,,2,Concerning,,,
AZULFIDINE,1,0,0,0,,1,Concerning,3.12,diarrhea | dizziness | fatigue | headache | nausea | rash,negative
ZIAGEN,1,0,0,0,,0,Concerning,1.0,,negative
TYMLOS,4,0,0,25,,2,Mixed-Neutral,1.0,,negative
ORENCIA,23,4.3,13,39.1,,10,Mixed-Neutral,3.18,diarrhea | fatigue | headache | nausea | rash,positive
DYSPORT,94,21.3,7.4,29.8,,26,Mixed-Neutral,3.0,dizziness | fatigue | headache,negative
CAMPRAL,4,0,0,25,,1,Mixed-Neutral,4.71,diarrhea | fatigue | insomnia | nausea | weight gain,positive
PRECOSE,1,0,0,0,,0,Concerning,3.0,,positive
SECTRAL,1,0,0,0,,0,Concerning,4.0,fatigue | insomnia | weight gain,positive
ACEBUTOLOL HCL,2,0,0,0,,0,Concerning,,,
ACETAMINOPHEN,168,19,38.7,13.7,Allergic,46,Concerning,2.7,fatigue,positive
TYLENOL,49,4.1,8.2,12.2,Allergic,21,Concerning,2.17,dizziness | fatigue | headache | insomnia | rash,negative
"""ACETAMINOPHEN",188,0,0,26.1,,39,Mixed-Neutral,,,
"ASPIRIN AND CAFFEINE""",7,0,0,0,,3,Concerning,,,
FIORICET,1,0,0,0,,0,Concerning,4.33,dizziness | fatigue | headache | nausea | rash | vomiting,positive
"""BUTALBITAL",17,0,0,0,,8,Concerning,,,
"ACETAMINOPHEN AND CAFFEINE""",191,0,0,5.8,,65,Concerning,,,
FIORICET W/ CODEINE,4,0,0,25,,2,Mixed-Neutral,4.07,headache | nausea | vomiting,positive
ACETAMINOPHEN AND CODEINE PHOSPHATE,171,0,0,29.8,,47,Mixed-Neutral,3.0,,neutral
ACETAMINOPHEN W/ CODEINE,4,0,0,25,,2,Mixed-Neutral,5.0,,positive
ACETAMINOPHEN W/ CODEINE NO. 3,2,0,0,50,,1,Mixed-Neutral,3.0,headache,positive
TYLENOL W/ CODEINE NO. 1,4,0,0,25,,2,Mixed-Neutral,3.31,fatigue | headache | nausea | stomach pain | vomiting,positive
TYLENOL W/ CODEINE,4,0,0,25,,2,Mixed-Neutral,2.25,dizziness | headache,negative
VICODIN,6,16.7,16.7,16.7,,1,Concerning,2.42,dizziness | fatigue | insomnia | nausea | vomiting,negative
ACETAMINOPHEN AND HYDROCODONE BITARTRATE,122,0,0,16.4,,38,Concerning,4.0,insomnia | nausea,negative
HYDROCODONE BITARTRATE AND ACETAMINOPHEN,122,0,0,16.4,,38,Concerning,1.33,headache | nausea,negative
VICODIN HP,11,0,0,18.2,,8,Mixed-Neutral,4.19,headache | insomnia | nausea | stomach pain | vomiting,negative
NORCO,10,0,0,0,,5,Concerning,2.69,diarrhea | fatigue | headache | insomnia | nausea | neuropathy | rash,negative
PERCOCET,12,8.3,0,16.7,Gastrointestinal,2,Concerning,4.0,fatigue | nausea | vomiting,negative
OXYCODONE AND ACETAMINOPHEN,177,0,0,27.1,,39,Mixed-Neutral,3.6,fatigue | headache | nausea | vomiting,negative
OXYCODONE HYDROCHLORIDE AND ACETAMINOPHEN,177,0,0,27.1,,39,Mixed-Neutral,,,
TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN,181,0,0,22.7,,45,Mixed-Neutral,1.0,insomnia,negative
ACETAZOLAMIDE,169,30.8,11.2,27.2,Cardiovascular,57,Mixed-Neutral,3.0,fatigue | neuropathy | vomiting,positive
DIAMOX,23,8.7,4.3,13,,9,Concerning,2.62,diarrhea | dizziness | fatigue | headache | nausea | neuropathy | stomach pain | vomiting | weight loss,negative
ACETYLCYSTEINE,171,23.4,12.9,21.1,Hepatotoxicity,69,Concerning,4.0,diarrhea | headache | nausea,positive
ACYCLOVIR,172,26.7,18.6,8.1,Nephrotoxicity,67,Concerning,3.06,dizziness | fatigue | headache | insomnia | nausea | neuropathy,positive
ACYCLOVIR SODIUM,6,0,0,0,,2,Concerning,4.0,,negative
ZOVIRAX,13,7.7,0,7.7,,4,Concerning,3.7,fatigue | insomnia | nausea | stomach pain | vomiting,negative
HUMIRA,166,12,7.8,12.7,,61,Concerning,2.08,dizziness | fatigue | headache | insomnia,positive
DIFFERIN,7,0,0,0,,2,Concerning,1.14,,negative
ADENOSCAN,3,33.3,0,0,,0,Concerning,1.0,headache | nausea,negative
KADCYLA,56,17.9,8.9,3.6,,17,Concerning,4.33,fatigue | headache | stomach pain | weight gain,positive
GILOTRIF,4,0,0,0,,2,Concerning,,,
VENTOLIN,19,10.5,0,0,,4,Concerning,2.58,headache | tachycardia,positive
PROVENTIL,1,100,0,100,,0,Mixed-Positive,3.78,headache,positive
ALBUTEROL,164,10.4,6.1,16.5,Cardiovascular,36,Concerning,3.91,headache | insomnia,positive
ALBUTEROL SULFATE,23,4.3,4.3,13,,15,Concerning,2.5,rash,positive
PROAIR HFA,1,0,0,0,,0,Concerning,4.33,headache | tachycardia,positive
VENTOLIN HFA,2,0,0,0,,1,Concerning,3.0,headache,negative
COMBIVENT,3,0,0,33.3,,0,Mixed-Neutral,3.33,,negative
ALECENSA,6,0,16.7,0,,1,Concerning,4.33,bradycardia | fatigue | insomnia | nausea | rash | weight gain,positive
CAMPATH,18,11.1,5.6,0,,1,Concerning,4.0,fatigue,neutral
BINOSTO,1,0,0,0,,0,Concerning,1.0,,negative
ALENDRONATE SODIUM,100,10,3,9,,54,Concerning,2.22,fatigue | headache | heart attack,negative
FOSAMAX,7,0,0,0,,3,Concerning,1.2,diarrhea | fatigue | headache | nausea | stomach pain | vomiting,negative
FOSAMAX PLUS D,197,0,0,16.8,,42,Concerning,1.0,heart attack | nausea,negative
ALFUZOSIN HYDROCHLORIDE,6,16.7,0,0,,1,Concerning,4.0,,positive
PRALUENT,4,0,0,0,,2,Concerning,1.5,fatigue | headache | rash,negative
ALLOPURINOL,169,21.9,39.6,23.1,Nephrotoxicity,66,Mixed-Neutral,2.46,dizziness | fatigue | headache | insomnia,negative
ZYLOPRIM,1,0,0,0,,1,Concerning,3.8,,positive
PIQRAY,13,0,7.7,0,,9,Concerning,4.5,diarrhea | rash,neutral
ALPRAZOLAM,182,9.9,10.4,12.1,Cardiovascular,53,Concerning,4.4,fatigue | insomnia,negative
XANAX,30,6.7,3.3,3.3,,7,Concerning,3.61,neuropathy | weight gain,negative
EDEX,13,7.7,0,0,,3,Concerning,4.0,,positive
MUSE,178,22.5,5.1,5.6,Hepatotoxicity,62,Concerning,4.0,,positive
CAVERJECT,2,0,0,0,,1,Concerning,5.0,,positive
GAVISCON,19,5.3,15.8,26.3,Allergic,9,Mixed-Neutral,3.8,,neutral
AMANTADINE HCL,3,0,0,0,,0,Concerning,2.71,fatigue,positive
LETAIRIS,2,50,0,0,,2,Concerning,1.0,headache,negative
AMILORIDE HYDROCHLORIDE,17,11.8,0,5.9,,5,Concerning,1.5,diarrhea,negative
AMILORIDE HCL AND HYDROCHLOROTHIAZIDE,42,0,0,11.9,,14,Concerning,3.0,,negative
PREMASOL 6% IN PLASTIC CONTAINER,123,0,0,0,,49,Concerning,1.0,,negative
AMINOPHYLLINE,179,22.9,10.6,19.6,Cardiovascular,57,Concerning,3.0,dizziness,positive
AMIODARONE HYDROCHLORIDE,28,14.3,7.1,3.6,,15,Concerning,1.0,fatigue | weight loss,negative
AMIODARONE HCL,2,0,0,0,,0,Concerning,1.79,fatigue | headache | insomnia | rash | weight loss,negative
CORDARONE,2,0,0,0,,2,Concerning,2.93,dizziness | fatigue | heart attack | insomnia | nausea | neuropathy,negative
ELAVIL,1,0,0,0,,0,Concerning,3.0,dizziness | headache | insomnia | nausea | rash | stomach pain | weight gain,positive
AMITRIPTYLINE HYDROCHLORIDE,30,3.3,3.3,6.7,,6,Concerning,2.33,,negative
AMITRIPTYLINE HCL,5,0,0,0,,1,Concerning,2.67,diarrhea | dizziness | tachycardia | weight gain,negative
CHLORDIAZEPOXIDE AND AMITRIPTYLINE HCL,2,0,0,0,,1,Concerning,,,
PERPHENAZINE AND AMITRIPTYLINE HCL,4,0,0,25,,2,Mixed-Neutral,3.5,fatigue | insomnia | weight gain,positive
NORVASC,7,0,28.6,14.3,,2,Concerning,1.67,diarrhea | dizziness | fatigue | headache | heart attack | insomnia | nausea | neuropathy | stomach pain,negative
AMLODIPINE BESYLATE,119,9.2,4.2,5.9,Cardiovascular,44,Concerning,1.88,dizziness | fatigue | headache | insomnia | nausea | neuropathy | tachycardia,negative
AMLODIPINE BESYLATE AND ATORVASTATIN CALCIUM,79,0,0,11.4,,30,Concerning,,,
CADUET,3,0,0,0,,0,Concerning,,,
AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,17,0,0,41.2,,9,Mixed-Neutral,4.5,diarrhea,negative
AZOR,62,4.8,3.2,1.6,,24,Concerning,3.33,diarrhea | headache | nausea | neuropathy | stomach pain | vomiting,negative
TWYNSTA,1,0,0,0,,1,Mixed-Neutral,4.0,,neutral
TELMISARTAN AND AMLODIPINE,14,21.4,7.1,14.3,Cardiovascular,6,Concerning,4.0,,positive
AMLODIPINE BESYLATE AND VALSARTAN,100,0,0,20,,42,Mixed-Neutral,,,
EXFORGE,1,0,0,0,Cardiovascular,1,Concerning,2.4,fatigue | headache | neuropathy | weight gain,negative
EXFORGE HCT,1,0,0,0,Cardiovascular,1,Concerning,2.0,fatigue | nausea | stomach pain,negative
AMOXAPINE,37,10.8,8.1,2.7,,12,Concerning,4.0,,negative
AMOXICILLIN,176,23.9,21.6,18.8,Allergic,57,Concerning,2.3,diarrhea | insomnia | nausea | neuropathy | rash | stomach pain,negative
AMOXIL,9,11.1,0,11.1,,4,Concerning,3.09,diarrhea | fatigue | headache | insomnia | nausea | rash | stomach pain | weight gain | weight loss,negative
"""LANSOPRAZOLE",185,0,0,27.6,,72,Mixed-Neutral,,,
"AMOXICILLIN AND CLARITHROMYCIN""",1,0,0,100,,0,Mixed-Neutral,,,
OMEPRAZOLE AND CLARITHROMYCIN AND AMOXICILLIN,168,0,0,40.5,,64,Mixed-Neutral,,,
AMOXICILLIN AND CLAVULANATE POTASSIUM,7,14.3,0,28.6,,1,Concerning,2.18,diarrhea | dizziness | fatigue | headache | nausea | vomiting,negative
AUGMENTIN XR,2,0,0,0,,2,Concerning,2.0,diarrhea | fatigue | headache | insomnia | nausea | neuropathy | stomach pain,negative
AUGMENTIN 875,36,0,0,19.4,,20,Concerning,2.62,diarrhea | dizziness | fatigue | headache | insomnia | nausea | rash | stomach pain,negative
AUGMENTIN 400,137,0,0,19,,46,Concerning,,,
AUGMENTIN 250,131,0,0,10.7,,49,Concerning,2.23,diarrhea | dizziness | fatigue | headache | nausea | rash | stomach pain | vomiting | weight gain,negative
AUGMENTIN  125,162,0,0,17.3,,62,Concerning,1.82,diarrhea | dizziness | fatigue | headache | insomnia | nausea | tachycardia,negative
"""DEXTROAMP SACCHARATE",9,0,0,11.1,,1,Concerning,,,
AMP ASPARTATE,196,0,0,1,,71,Concerning,,,
"DEXTROAMP SULFATE AND AMP SULFATE""",194,0,0,2.1,,60,Concerning,,,
MYDAYIS,1,0,0,0,,1,Concerning,4.0,insomnia,positive
ADDERALL XR,4,0,0,0,,2,Concerning,3.47,diarrhea | headache | insomnia | nausea | weight loss,positive
ADDERALL,61,6.6,4.9,11.5,,23,Concerning,3.25,fatigue | headache | insomnia | rash | tachycardia | weight loss,negative
OMNIPEN (AMPICILLIN),185,0,0,5.4,,64,Concerning,,,
AMPICILLIN TRIHYDRATE,10,0,0,30,,3,Mixed-Neutral,,,
KINERET,24,25,0,12.5,,7,Concerning,3.33,headache | nausea | neuropathy,negative
ANASTROZOLE,180,15.6,13.3,22.2,Gastrointestinal,68,Mixed-Neutral,1.44,dizziness | fatigue | headache | insomnia | nausea | weight gain,negative
ARIMIDEX,7,0,0,14.3,,1,Concerning,1.62,fatigue | insomnia | nausea | neuropathy,negative
ELIQUIS,102,4.9,2,12.7,,39,Concerning,1.69,dizziness | fatigue | headache | nausea | neuropathy | stomach pain | weight loss,negative
OTEZLA,13,0,7.7,7.7,,7,Concerning,3.18,diarrhea | fatigue | headache | insomnia | nausea,positive
EMEND,67,4.5,0,0,,20,Concerning,5.0,nausea,negative
TRASYLOL,4,0,25,25,,2,Mixed-Neutral,1.0,,negative
ABILIFY,36,0,2.8,5.6,,12,Concerning,1.82,bradycardia | fatigue | headache | heart attack | insomnia | neuropathy | weight gain,negative
ARISTADA,4,0,0,0,,1,Concerning,1.0,weight gain,negative
