drug_name,most_positive_comment,most_negative_comment,,
ACCUPRIL,"Not at all happy with this dosage. Must contact Doctor comeMonday morning, which will be Monday April 13, 09'","since increase in dosage from 20 to 40 mg very tired. lazy , fatigue.",,
ACCURETIC,"I could not work out why I was so tired and sore. I was on an exercise program which was working wonderfully, and then I got extremely sore joints and such tiredness I had to give up. Turned out I was dehydrated. I'm left with an ache in my chest region. Stopped the drug and everything except chest pain has gone.","I could not work out why I was so tired and sore. I was on an exercise program which was working wonderfully, and then I got extremely sore joints and such tiredness I had to give up. Turned out I was dehydrated. I'm left with an ache in my chest region. Stopped the drug and everything except chest pain has gone.",,
ACCUTANE,On top of all of this....I Still Have Acne,This will ruin your life and all the serious effects happen after you stop,,
ACEON,"Perindopril Erbumine 4mg in combination with exercise and intelligent diet has effectively lowered my blood pressure from 160/105 (the highest reading prior) to consistently below 135/82 as the highest reading since this medication was introduced. This is the first time trying a pharmaceutical approach for hypertension. I will note that I experienced unpleasent side effects from several herbal remedies. Believe me, I would not be taking a pharmaceutical if I did not need to, and this drug has been helpful even at the low dose.",I have stopped taking the medication because the coughing drove me crazy. I'm going to try to cope with high blood pressure in some other way.,,
ACEPHEN,I asked for these because i use them at home. Didnt like it when the nurse pushed them in me though.,I asked for these because i use them at home. Didnt like it when the nurse pushed them in me though.,,
ACETAMINOPHEN,"Irf... Taken for 2 to 5 years December 6, 2019 Acetaminophen for Fever ""Paracetamol is the best and safest drug. It's really amazing."" 10 / 10 Was this helpful? Yes No 43 Report","dor... July 4, 2022 For Pain ""I have chronic pain from fibromyalgia, polymyalgia rheumatica, plus three kinds of arthritis plus a low-grade fever. Ibuprofen helps the pain from those things if I want to add severe heartburn. I take Tylenol (acetaminophen) sometimes when I'm desperate for relief. It never has helped pain, but sometimes I just have to do something. There is one thing it always does, though. It always causes nausea."" 1 / 10 Was this helpful? Yes No 6 Report",,
ACETAMINOPHEN AND CODEINE PHOSPHATE,constipation,constipation,,
ACETAMINOPHEN AND HYDROCODONE BITARTRATE,"I was on this twice--once for a tonsillectomy and another for kidney stones. It did knock out my pain, but it wore off in 3 hours and I was only allowed to take one pill every 6 hours so that was not fun. It made me very nauseous, so I took it with some Zofran prescribed by my doctor. It also made me unable to sleep--I tossed and turned while on it and had to take a sleeping pill to drift off. I know it was this drug causing it because it did it both times I took it and stopped once I got off of it.","I was on this twice--once for a tonsillectomy and another for kidney stones. It did knock out my pain, but it wore off in 3 hours and I was only allowed to take one pill every 6 hours so that was not fun. It made me very nauseous, so I took it with some Zofran prescribed by my doctor. It also made me unable to sleep--I tossed and turned while on it and had to take a sleeping pill to drift off. I know it was this drug causing it because it did it both times I took it and stopped once I got off of it.",,
ACETAMINOPHEN W/ CODEINE,Excellent medicine for muscle pain and coughing.,Excellent medicine for muscle pain and coughing.,,
ACETAMINOPHEN W/ CODEINE NO. 3,My dosage was 60 /300mg 4x daily. At this dose I received a complete and total pain relief and complete relief for my chronic severe cough highly recommend - it is more potent than you think,"very minor pain relief if any, side effects not worth it so i discontinued taking it",,
"ACETAMINOPHEN, ASPIRIN AND CAFFEINE",Can't believe how much it helps relieve headache and what may be pain from diverticulitis.,Can't believe how much it helps relieve headache and what may be pain from diverticulitis.,,
ACETAZOLAMIDE,This drug can be harmful to the elderly - if you see these side effects in yourself or a loved one please contact your doctor.,"It definitely helps on the mentioned condition, but very slowly.",,
ACETYLCYSTEINE,It is a powerful antioxidant and mucolytic. I used countless antihistaminics to cure cough. None come near acetylcysteine. I breathe much easily now.,"It did help to keep my sinuses draining. But the anxiety is not worth it. I used to take only 300 mg day, and possibly I can return to this dose, and still benefit, once my body gets calmed back down. For now I had to stop taking it.",,
ACIPHEX,Worked great for rme,"I've only been on this for 5 days but it has completely eliminated my indigestion where nearly everything I ate or drank made my stomach burn. I'm worried about the side effects, the anxiety is really unsettling & I am hoping it's not from this drug as I'm an anxious person but I haven't felt like myself. I feel like I'm going to have a panic attack & the chest pains are a bit scary but I'm going to give it a while longer before reviewing with my Dr.",,
ACLOVATE,"Worked great...had to apply at night and day. 2 days and eczema was under control. Eyelid are is sensitive to anything, so this worked great.","Worked great...had to apply at night and day. 2 days and eczema was under control. Eyelid are is sensitive to anything, so this worked great.",,
ACTEMRA,This stuff is poison and will leave you with more problems than you began with.,Terrible drug. I have 80% of all side effects listed in Mayo. I feel like is terrible poison.,,
ACTIGALL,When I first found out I had cirrhosis my  doctors were pretty sure I would need a transplant. They decided to up my dosage and since then the swelling went down and there has been no additional scarring on my liver. I should probably say that I am helping the cause of it remaining healthy because I do not drink nor have I even tasted alcohol.,prescibed by gastroenterologist,,
ACTIQ,NEEDS TO BE SUED LIKE THE TOBACCO COMPANIES WERE. NOW!!! THE PROOF IS THERE AND OVERWHELMING!,Actiq hasn't a defense to hide belong once taken to court in a class action lawsuit. 13yrs of proof right here alone. But shouldn't have to be alone. Disgusting. Considering everybody's suing for just a cup of coffee being spilled or a boon being grazed against. Here I'm talking about serious long term damage.,,
ACTIVELLA,"Anxiety was a nightmare for me but activelle has helped tremendously, also my hot flushes subsided",I will never ever advise anyone to use this tablet very dangerous.i was cery healthy besides the hotflushes and know i feel terrible and weak no energy,,
ACTONEL,Medics in denial and encourage continuing use. It is known can cause Necrosis of the jaw. Is it worth the risk.....,Don't take Actonel. The worst drug ever. Like taking poison.,,
ACTOS,I never had this issue with Glipized and metformin. To this day I don't know why the doctor took me off Glipized. I understand the numbers showing good but what about the side effects ppl are complaining about. We are not ginney pigs. I asked for something else my doctor told me no. I will stop this actos on my own and find another doctor that will not just see me but hear me.,Stay away from this crap. The being cold is an indication of this crap causing kidney problems.,,
ACYCLOVIR,Very good medication,It's been one day since the last dose. I am feeling awful still with body aches. No more shortness of breath or chills. The Bell Palsey isn't noticeable anymore so this medicine does work. If you have to take this medication I suggest drink plenty of water and avoid coffee as coffee made my headaches worse.,,
ACYCLOVIR SODIUM,"stopped taking the meds because of ""side"" effects; had 4 acupuncture treatments which helped immensely","stopped taking the meds because of ""side"" effects; had 4 acupuncture treatments which helped immensely",,
ACZONE,"Best acne medication I've ever used! I've tried 26 different acne medications (including proactive) before I tried Aczone. This was the only one that worked! I was prescribed this by a doctor and not a dermatologist! No reactions, and I'm allergic to benzyl peroxide so it's hard to find acne medication that does not include this. Best drug in the world!","Saw little to no improvement with this cream after 3 months. It didn't make it worse, though.",,
ADALAT CC,"INSISTS TO YOUR DOCTOR THAT YOU ARE NOT FEELING OK WITH SIDE EFFECTS. BETTER STILL, CHANGE DOCTOR WHO WOULD LISTEN TO YOU.","I would not recommend it, I am not sure why  Doctors prescribe it to some patients, for me, it didn't work at all it made me feel even more sick.",,
ADALIMUMAB,"BBa... Taken for 1 to 6 months September 15, 2018 For Hidradenitis Suppurativa ""Have had Hidradenitis Suppurativa since childhood (before puberty) Stage 2 Hurley and... Colitis, IBD. No pain for me when injected in the tummy. I feel like Superman for 30 minutes after injection. I feel great. It has reduced lesions every time. The more I build up in my system, the fewer lesions there are occurring. I’m so happy I am on this drug. I delayed taking the drug after reading scary reviews. I’m glad I went ahead anyway. It has been great for me."" 9 / 10 Was this helpful? Yes No 66 Report","Jod... Taken for 1 to 6 months April 15, 2019 For Rheumatoid Arthritis ""I was diagnosed with RA (rheumatoid arthritis) about 4 years ago, and my rheumatologist started me on Xeljanz, and it was a miracle drug. I was 100% pain-free. Unfortunately, after a few years, it wasn’t working anymore, and she decided to start me on Humira and Methotrexate, which isn’t doing anything for me. I’ve been on the Humira and Methotrexate for about 2 months now, and I’m so discouraged because I’m not getting any relief at all. My feet are swollen, burning, and I can hardly walk. I think I’m going to continue this for another month, and if nothing, I’m going to talk to my doctor about a different medication."" 1 / 10 Was this helpful? Yes No 66 Report",,
ADCIRCA,"ADCIRCA and TADALAFIL are both generic CIALIS. I am taking Tadalafil and have had zero reaction at any dose I have taken. I began with 2.5mg and have gradually increased it to 100mg over almost 2 months with no desired (ED)results or negative side effects, none. Just because this unprescribed dosing has not hurt me, I by no means recommend anyone doing it . I am both unlucky (nothing positive) and lucky (nothing negative). So, now I am now without any hope that pill will fix me, including generic VIAGRA.","ADCIRCA and TADALAFIL are both generic CIALIS. I am taking Tadalafil and have had zero reaction at any dose I have taken. I began with 2.5mg and have gradually increased it to 100mg over almost 2 months with no desired (ED)results or negative side effects, none. Just because this unprescribed dosing has not hurt me, I by no means recommend anyone doing it . I am both unlucky (nothing positive) and lucky (nothing negative). So, now I am now without any hope that pill will fix me, including generic VIAGRA.",,
ADDERALL,"If you use generic Adderall XR, please make sure it does NOT come from IMPAX GENERICS. I almost died using the one from this Pharmaceutical at the point of very close to having a heart attack.",Please don't take this drug. IT IS VERY BAD.,,
ADDERALL XR,Helped my fatigue a great deal so far. No side effect yet.,"This drug needs to be prescribed at 10mg and no more than this, patients need to ensure they eat regularly and exercise Consider a morning routine/meditation and cannabis for the PM",,
ADEMPAS,The  doctors constantly want to raise the dosage. I was satisfied on 1 mg. They took it to 1.5 mg then 2 mg. I'm back on 1.5 mg and plan on asking to be placed on 1 mg. or something else.,My quality of life has severely decreased.,,
ADENOSCAN,I understand WHY this drug is used. I just did NOT enjoy the experience - not even close!!!,I understand WHY this drug is used. I just did NOT enjoy the experience - not even close!!!,,
ADIPEX-P,"phentermine asipex supplements work great they do suppress your hunger, just need to keep yourself hydrated.","Side effects are extremely unpleasant. Anxiety, racing heart, insomnia, mood swings, euphoria, dry mouth, and a bad taste in mouth were the most common. Luckily this medicine isn't used for long-term and it is EXTREMELY effective in helping with weight loss. I lost about 20 pounds per month on average.",,
ADRIAMYCIN PFS,"via IV with Cytoxan, 4 cycles @ 3 weeks -- won't know if they worked until cancer never recurs. Manageable but no fun. Was able to work most days, but at a slower pace. Very important to eat a good anticancer diet, exercise as much as possible, drink a variety of fluids, spend time with positive people.","4tx, tx every 21 days",,
ADVAIR DISKUS 100/50,This medicine helped me greatly. I can breathe again!!,Advair helped me breath again I coughed so much and had alot of phleum it was awful I just hate the weight gain.,,
ADVAIR HFA,"Helpful note: many times muscle craps are caused by lack of Potassium. But do you think your Doctor would tell you that you could buy a over the counter nutrient that could help....Is'nt it funny that many of the complaints have to do with muscle cramps and studys do show that this drug does sometimes zap potassium. when I asked my Doc. he said it was highy unlikely that thats the reason I was having cramps. So I stoped the meds and started potassium ...guess what, feeling much better. Look into it. Potassium plays many roles including heart heath . also notice all the heart complaints here....All I can say is DUH! to the makers of this drug! I am not a Doctor and you should ask your doc. if this is right for you, but this helped me good luck!",Gives sometimes insomnia but I am used to it now. The inhaler which gives me the most relief. I do not feel bad ashtma symptoms.,,
ADVICOR,"Although the drug lowered my cholesterol, it attacked my nerves and muscles and made a cripple out of me.",My numbers actually were worse with Advicor than with Lipitor. I do not think I like this drug given the poor results and the way it makes me feel. I also have Type 2 Diabetes which seems to complicate the issue. Advicor raised my blood sugar average by about 15%. I am going to ask my doctor to change me to something else.,,
ADVIL,"Advil is the only pain medicine that has ever helped fully relieve my menstrual cramps. I have gotten to the point where I have to take more than the allotted dosage, but it always works unlike anything else. Believe me when I say I have tried everything else.",Dont take it every 4 hrs. Im so stupid.. Grrrr because i did.,,
ADVIL COLD AND SINUS,worked great at clearing my sinuses,none,,
ADVIL LIQUI-GELS,worked great,"I take 4 advil every 4-6 hours for about 3 days per month. (It ends up being about 16 to 20 per day) I drink a full glass of water with each dose and try to continue to drink a lot of water to keep my liver flushed. I would suffer badly without 800MG advil or motrin every few hours, every month. I am SO grateful for it!",,
ADZENYS XR-ODT,"Did what it was supposed to do, but at a great cost. There are also ethical concerns associated with longterm effects of amphetamines on the brain and worsened cognitive impairment that ought to be noted.","Did what it was supposed to do, but at a great cost. There are also ethical concerns associated with longterm effects of amphetamines on the brain and worsened cognitive impairment that ought to be noted.",,
AFINITOR,"This drug needs to be off the market. There are too many side effects. One of the main ones, rising glucose levels have thrown patients into Diabetes.",After 5 years on Afinitor doctor said I should consider going off of drug. It can cause high blood sugar and high cholesterol . I had neither of those but opted to go off. 7 months off only monthly hormone injection and cancer still stable.,,
AFLURIA,"09/25/2018 given to me in my right arm shot was ok, but all the med being pushed through that tiny needle hurt like heck","09/25/2018 given to me in my right arm shot was ok, but all the med being pushed through that tiny needle hurt like heck",,
AFRINOL,WOW....This stuff was fabulous.I have a deviated septum and have only ever been able to breath out of my right nostrilI was given this to open my sinus so they could scope my nose and it not only drained my sinus in a few seconds but it made me able to breath from both nostrils..For me a very unique experience.It lasted well over 12 hours.Just wish it could be used all the time but reading up on it i see its only for a few days use.I wsa gonna go back and ask him for a bottle of this stuff...lol.Ive had a chronic sinus infection for 4 months and this was a huge relief..even if it was fleeting..ahhh well!,"I would be wakened by blocked sinuses and if particularly bad would use Afrin at about 3:00 am. This always worked very well. If I used it too often the beneficial effects would drop off after 3 or 4 nights. The relief would occur in less than 2 minutes and would last for 12+ hours, whereas all I wanted was enought to get me through the rest of the night. I stopped the semi-regular use of Afrin on the advice of my doctor, but still use it occasionally.",,
AGGRENOX,I haven't had anymore TIAs - I guess that's good,"Seems to work, no more strokes",,
AGRYLIN,MUCH MUCH better than Interferon!!,"I had to see 5 different hematologists over the course of 5 years before my current one took me off of it. The previous ones insisted that the medication did not cause my hypertension, but when I was taken off of it, the hypertension resolved.",,
AIMOVIG,"Greatly helped with my migraines, ""clean"", no side effect medication. The only negative is the cost if you are on Medicare. If you have a private insurance, you can get a coupons and pay almost nothing.",Unable to take anymore because of cost and insurance will not cover. It is a miracle for migraines,,
AJOVY,"It actually reduced my migraines greatly, but the side effects were much worse. Won't take it again.",Decreased migraine frequency from 3-4 migraines per week to 4-5 migraines per month.,,
AKINETON,"I used this agaist stiffness in the back and arms, caused by side-effekts of Haloperidol.","I used this agaist stiffness in the back and arms, caused by side-effekts of Haloperidol.",,
AKNE-MYCIN,I am stopping NOW having read the comments on this web-site. Thank you so much. I would rather have the acne than continue to suffer the side effects.,I am stopping NOW having read the comments on this web-site. Thank you so much. I would rather have the acne than continue to suffer the side effects.,,
ALAMAST,"This is one of the best eye drops for allergy that I have ever used. I have a terrible allergy to Mountain Cedar and this winter has been particularly bad. My eyes water and itch so badly that I can hardly stand it. After applying one drop in each eye (two drops if they are particularly itchy), after about 5 minutes the watering and itching have stopped and I can see again.","This is one of the best eye drops for allergy that I have ever used. I have a terrible allergy to Mountain Cedar and this winter has been particularly bad. My eyes water and itch so badly that I can hardly stand it. After applying one drop in each eye (two drops if they are particularly itchy), after about 5 minutes the watering and itching have stopped and I can see again.",,
ALAVERT,"I feel great when taking Alavert. No exhaustion, nightmares, irritability, or weird dry/thick congestion feeling. Will never go back to other antihistimine again.","I feel great when taking Alavert. No exhaustion, nightmares, irritability, or weird dry/thick congestion feeling. Will never go back to other antihistimine again.",,
ALBENZA,I took this medication while I had Giardia - I had to finish it before I could take the Giardia medication so I'm not sure I had any side effects from Albenza,I actually believe that my symptoms were from die off (Herxheimer) and not side effects of the medication. You are killing bugs which release toxins into your blood stream when they die so you may feel badly for a while.,,
ALBUTEROL,Loved it. Couldnt have survived attacks without it.,"This inhaler gives nearly immediate, and complete relief! I am positive that I would have died (several times) if not for this inhaler! Even during a very bad episode, when I need to take 3 or 4 puffs, it clears me up completely within just a few minutes!",,
ALBUTEROL SULFATE,Works great for my son. He has reactive airway disease and this clears up his wheezing whenever it is needed.,Should be off market...my son had same bad reactions.,,
ALDACTAZIDE,"Works best as an additional med for hypertension but for me, not alone,","Dr. had me on Lisinopril (30 mg per day) for years and it did very little to lower my BP. When used in combo with Aldactazide, it was like flipping a switch.",,
ALDACTONE,it did its job for sure!! but the side effects were... yikes,"After having a terrible experience with this drug that landed me in the ER after taking it for a month, I found out that it is a hormone blocker and blocks testosterone production. This was prescribed by my dermatologist for minor acne around my chin but not once did they ever test for high testosterone to see if that was actually the cause of my acne. I stopped taking it 8 months ago and I am still going to the doctor to try and heal my gut from the damage this drug did to my digestive system. I still have abdominal pain. Do your research before taking this drug! Clearly, the  doctors who are prescribing it do not...",,
ALDARA,"Already used this previous and was not keen to use again, but the consultant said it was the best way to treat the BCC on my chest. Within days sores appeared, weeping , crusting, then the headaches,nausea and dizzy spells, reported this and was advised to come of it for 12 weeks to allow the area to repair, I will never use this horrendous cream again, I’d rather be left with scars from surgically removal.",My dermatologist over prescribed Aldara. She was not educated in the serious side effects.,,
ALDOMET,"Can deplete CoQ10, which is important for the body!!! And can lower blood pressure. See the connection?",One of the worst drugs I have ever taken. Could never get sinuses cleared while on it. Constant stuffy nose and head pressure. Constipation was horrible. Brain fog and anxiety were debilitating. This drug works on brain function and the effects are scary. Thought I needed antidepressant but anxiety and confusion halted once the drug was stopped. Tried to take several times since I am sensitive to so many drugs. Never again. Has robbed me enough of my life.,,
ALECENSA,I'm now on a lower dose and I'm doing better with my heart rate.,"I am currently cancer free thanks to this drug, but still have the terrible side effects",,
ALENDRONATE SODIUM,Won't know how it's working until I receive my next bone density scan in about six months.,I will never take this drug again ...very disappointed to learn that this drug will be in my body probably for ever and I am obviously having a severe reaction to it ..what do I do but pray the lesions on my hands will resolve..and the pain will not return as bad. please take this drug off the market..,,
ALESSE,"I don't care - if I get pregnant anymore this pill has destroyed my life . Ladies its your body, don't let the G.p brain wash you and dismiss your symptoms. I've been dismiss for 5 years.","The first 3 months of this pill wasn't too bad. I bled a little through the first 2 weeks of taking it. After the 4th month my partner had to talk to me about how emotional and irritable I was. I didn't notice how bad I was getting until he told me. I became a very angry, depressed and all around horrible person which is very unlike me. Completely stopping this pill. Not worth the stress in my relationship.",,
ALEVE,DO NOT TAKE ALEVE. Advil at this point is a better,"On the third day in a row taking Aleve, I boarded a plane for a four hour flight, and about three hours after that pill, had a bad reaction to it at 20,000 ft and two plus hours to go in the air. Truly afraid I was going to have a heart attack or stroke. Pulse went up, skipped beats, severe muscle tension, depression/anxiety. Had to stand in galley and do some deep breathing. Took a Benadryl after landing and felt somewhat better but took about 12 hours to feel somewhat normal. I see others here have posted about cardio effects from this med. I'm sorry about it because it helped a lot with the pain. But not worth risking AFib, heart attack or stroke. I'm allergic to other nsaids, like ibuprofen, Diclofenac and Meloxicam. Running out of options.",,
ALEVE COLD AND SINUS,I had never taken aleve before this day.I took 2 pills every 12 hours for 36 hours per Doctors orders. After I took aleve the third time the Pharmasist was the one that told me it was probably aleve as he has seen this many times.,This drug is dangerous and should be taken under extreme care!!!,,
ALFUZOSIN HYDROCHLORIDE,Helps with urination. I had stomach problems with Rapaflo and Flomax but Alfuzosin looks harmless so far.,Helps with urination. I had stomach problems with Rapaflo and Flomax but Alfuzosin looks harmless so far.,,
ALINIA,"My GI doctor gave me Alinia after recurrence of C-diff following a round of Vanco. I more or less refused to take Flagyl, because of the horrible side effects. Doctor says it is ""cutting edge"" to prescribe Alinia for C-diff. The research is very recent, but it suggests Alinia is just as effective as Flagyl or Vanco. My diarrhea stopped in two days, and I feel fine.","My GI doctor gave me Alinia after recurrence of C-diff following a round of Vanco. I more or less refused to take Flagyl, because of the horrible side effects. Doctor says it is ""cutting edge"" to prescribe Alinia for C-diff. The research is very recent, but it suggests Alinia is just as effective as Flagyl or Vanco. My diarrhea stopped in two days, and I feel fine.",,
ALLEGRA,"I will never touch this drug again. I got between 0 and 3 hours a night sleep, have had vertigo so severe that I nearly fell over yesterday, have been panicked and stressed, etc. I found it slightly more effective for stopping hay fever but my god is the price high for it. I'll be returning to Loratidine, which has never had such negative side effects for me.","I had taken Allegra in the past and remembered that it made me feel weird. Thought I would take it again. The other day when I took it I didn't feel any side effects, but today it feels different.",,
ALLEGRA D 12 HOUR ALLERGY AND CONGESTION,Every time I would open a blister to get a pill there would be an overwhelming skunk odor and the pill also tasted very skunky. There didn’t seem to be any issues associated with the smell after I took the first dose so I continue to take them as my allergies are severe and Allegra D works best for me.,I believe something must be wrong if the medication doesn't dissolve.,,
ALLEGRA D 24 HOUR ALLERGY AND CONGESTION,Safe and more effective than Zyrtec or Claritin. Non drowsy with or without the decongestant formula.,"Been taking for 2 or 3 years and it sorta takes the edge off for me. I still have pressure in my head and bad nasal drainage. However, it keeps my eyes from itching and my mouth/lips from breaking out and itching.",,
ALLI,"Follow the directions! If you eat fat foods, you will experience side affects...if you eat well, like you should...you will be fine. The gold of this program is to start you eating and excercising right for LIFE. Thanks for reading.",Took 2 month supply and lost no weight. Complete waste of money.,,
ALLOPURINOL,Allopurinol did stop my gout attacks but pretty sure it caused ED and zapped my libido,"terrible medice, increased trips to the toilet, aching joints, lethargic, and the very worst of all lebido dropped of a cliff... am coming of it today...",,
ALOCRIL,But I did have great results for the first year. It might work better with others. I would give it a try.,But I did have great results for the first year. It might work better with others. I would give it a try.,,
ALOPRIM,"ANYONE WHO HAD GOUT KNOWS THE PAIN. THIS STUFF IS INCREDIBLE, IT ABSOLUTELY WORKS. AND ITS CHEEP $6 FOR 30 DAY SUPPLY. EMAIL ME FOR MORE INFO","ANYONE WHO HAD GOUT KNOWS THE PAIN. THIS STUFF IS INCREDIBLE, IT ABSOLUTELY WORKS. AND ITS CHEEP $6 FOR 30 DAY SUPPLY. EMAIL ME FOR MORE INFO",,
ALPHAGAN,Please do more research on glaucoma eye drops thanks.,"Shocking to believe that low dose version is marketed over the counter to ""whiten"" eyes!",,
ALPHAGAN P,"It's done fairly well against symptoms of Fuch's endothelial corneal dystrophy, but for several weeks lately I've felt like an eyelash has been in my eye. An optometrist suspects allergy to ragweed, but I am beginning to suspect the Alphagan-p even though it's better for me than regular Alphagan. This is because the Alaway allergy drops the O.D. gave me a sample of are not really controlling the foreign body sensation in my eye.","I'll try to tough itout. I had such a bad reaction to Xalatan, that I'm willing to try this one for a while.",,
ALPRAZOLAM,Xanax can be a great medication if both the patient and physician are honest with each other and work out a plan with set goals to reach.,"I have a Rx for .25 mg twice per day max. I take 1 tab rarely in a day, in fact about 4 times a week I take 1/4 of a .25mg tablet. That's a very small dose .175mg and it stops my mind from racing when i am trying to go to sleep, hard to believe. If i have bad situations i take 1 tab at any time during day but that will usually make me dopey. I have read other comments and they are all correct IF YOU DON""T GET GREENSTONE then don't buy it! I am here today to confirm my suspicions that all the other generics make you feel jittery and hung over next day etc. I had the pharmacy put that note for me ""fill with GREENSTONE ONLY"" Well i picked up a refill 3 weeks ago and just opened it last night *&^%$# they used another generic, i took half tab to go to sleep and it kept me awake. Now i have to complain to pharmacy and i know there's nothing anyone will do about it. *&^%$",,
ALREX,"This is the only thing that helps the itching. I also used Patanol eye drops; last year they helped, this year they are not and I will just use the Alrex.","This is the only thing that helps the itching. I also used Patanol eye drops; last year they helped, this year they are not and I will just use the Alrex.",,
ALTACE,Lowered BP but unreasonable side effects. Dr. did not seem familiar with side effects. Thank goodness for Google. Geez.,Stop taking almost 2 weeks and the side effects still continue off and on ... 1 day I felt better and than next 2 days feel horrible. Terrible drug,,
ALUPENT,I'm allergic to other rescue inhalers and this one has worked wonders for me.,I'm allergic to other rescue inhalers and this one has worked wonders for me.,,
ALVESCO,"My daughter started Alvesco 2 years ago after years of trying other controller meds. She took Flovent and Advair for years before we decided to give Alvesco a try. Our next step was going to be Xolair because her pulmonary doctor said we were running out of options. With Alvesco, my daughter's asthma is the best controlled it has ever been! I am just praying it continues to work like it has the past two years. She is in a high dose--4 puffs a day @ 160 mg to control severe asthma.","I used to take Flovent and I had no issues with it. My allergist decided to switch me to Alvesco instead and she told me it would work the same as Flovent, the only difference being that Id only have to take the inhaler once before bed everyday. At first, the side effects weren't that noticeable. My appetite changed and id start to feel sick when I ate, my mouth and throat would get dry and my chest would feel tight. While at work, it would feel like I was breathing in cold air and like I had a lump in my throat. I also noticed that I would get extremely tired and had no energy or motivation to do anything. On the fifth week, the mood changes were at their worst. I started feeling extremely anxious about everything and would have terrible racing thoughts. I would have small breaks in the day where id feel somewhat normal, but id feel numb the entire time. The mood swings started to make me feel even more exhausted and they felt like there was no end to it. Do not take this medication if you have any mood disorders because they will worsen.",,
AMANTADINE HCL,"My doctor prescribed 100mg 3x per day, but she had me titrate up to this dosage. For the longest time I was doing well with with 2x, but as time went on I upped to 3x. After 9 months, however, I no longer feel the increased energy levels and my tremor has increased in my right hand and jaw. There's a possibility that I will need to go on a drug holiday to induce the dopamagenic effects that this antiviral has.","Was 23 years old given Amantadine for the flu. After 3rd or 4th day, called pharmacy to see if I could stop taking it because of the worst nightmares ever. The day after last dose, I woke up and was in psychosis. Taken to ER and was given something to knock me out. For the next week, all I did was sleep, wake up 'crazy', go to the bathroom, take another sleeping pill, and sleep. Then I had trouble walking or driving for weeks because of dizziness. Flashbacks for a year. Psychosis is a living nightmare I was so terrified I couldn't control my thoughts by heart was beating almost 200 bpm. I'd never take it again even for a billion dollars. One doctor saw it as my allergy and said ""What happened? You go crazy?"" I said yes, and he said that happens to a lot of people because it's a drug for Parkinson's and shouldn't be given to people with normal brains. Take tamiflu or vitamins or anything else besides this drug for the flu. Turns out Amantadine, DXM, and Ketamine are all related somehow so imagine how a person can have a very bad 'trip' on ketamine in the hallucinogen family somehow, so yes you can lose your mind. It's not worth it.",,
AMARYL,"works well, but works better if taken in the morning","I was taking in addition to Januvia for my diabetes. After 13 days, it only lowered my sugar by 12 points. The side effects are not worth it. THIS MEDICINE IS POISON! DO NOT TAKE. I have IBD so I don't know why my dr prescribed this.",,
